id;Описание;Размер;запас;запас;Артикул белого;Цена белого;из текст;запас;Артикул серого;Цена серого;из текст;запас;Артикул серого;Цена серого;из текст;запас
;;;;;m_8;;;;m_7;;;;m_38;;;
19;ЛДСП полка;565х435х16 мм;;;LWWHWS(N);500;белая;;LWOWWS(N);500;дуб венге;;LWOWWS(N);500;дуб;
20;Сеточная корзина;410х555х85 мм;;;L9529WH(N);525;белая;;L9529GA(N);525;серая;;L9529BL(N);525;черная;
21;Рама. 7 уровней;565х435х750 мм;;;LWS7FWH(N);1850;белая;;LWS7FGA(N);1850;серая;;LWS7FBL(N);1850;черная;
22;Сеточная корзина;410х555х185 мм;;;L9530WH(N);700;белая;;L9530GA(N);700;серая;;L9530BL(N);700;черная;
23;Кронштейн для полки ;406 мм;;;L9240WH;201;белый;;L9240GA;201;серый;;L9240BL;201;черный;
24;Сеточная полка;603х406 мм;;;L9964WH;550;белая;;L9964GA;550;серая;;L9964BL;550;черная;
25;Рама. 5 уровней;565х435х550 мм;;;LWS5FWH(N);1600;белая;;LWS5FGA(N);1600;серая;;LWS5FBL(N);1600;черная;
30;Сеточная полка  ;903х306 мм;;;L9993WH;640;белая;;L9993GA;640;серая;;L9993BL;640;черная;
31;Корзина на трении;590х424х180 мм;;;L9540WH;700;белая;;L9540GA;700;серая;;L9540BL;700;черная;
32;Кронштейн для полки;306 мм;;;L9230WH;132;белый;;L9230GA;132;серый;;L9230BL;132;черный;
33;Двусторонний кронштейн;603х406 мм;;;L9350WH;540;белый;;L9350GA;540;серый;;L9350BL;540;черный;
34;Кронштейны для корзин;603х406 мм;;;L9340WH;730;белые;;L9340GA;730;серые;;L9340BL;730;черные;
35;Сеточная полка;1203х406 мм;;;L99124WH;1050;белая;;L99124GA;1050;серая;;L99124BL;1050;черная;
36;Торцевые заглушки;2 штуки в комплекте;;;L9702CH;99;хром;;L9702CH;99;хром;;L9702CH;99;хром;
38;Крон. для перекладины;25 мм;;;L9701WH;32;белый;;L9701GA;32;серый;;L9701BL;32;черный;
39;Перфопанель;585х155 мм;;;L99G64WH;500;белая;;L99G64GA;500;серая;;L99G64BL;500;черная;
40;Кронштейн для ЛДСП;130 мм;;;L9096WH;330;белый;;L9096GA;330;серый;;L9096BL;330;черный;
41;ЛДСП полка;585х406х16 мм;;;LWWH406;500;белая;;LWOW406;500;дуб венге;;LWOW406;500;дуб;
42;Сеточная полка;603х306 мм;;;L9963WH;480;белая;;L9963GA;480;серая;;L9963BL;480;черная;
43;Сеточная полка ;1203х306 мм;;;L99123WH;880;белая;;L99123GA;880;серая;;L99123BL;880;черная;
44;Сеточная полка ;903х406 мм;;;L9994WH;730;белая;;L9994GA;730;серая;;L9994BL;730;черная;
46;Рельс для крепления стойки ;1000 мм;;;L9810WH;340;белый;;L9810GA;340;серый;;L9810BL;340;черный;
47;Стойка;1156 мм;;;L9111WH;430;белая;;L9111GA;430;серая;;L9111BL;430;черная;
48;стойка;1506 мм;;;L9115WH;480;белая;;L9115GA;480;серая;;L9115BL;480;черная;
49;Стойка;1955 мм;;;L9120WH;560;белая;;L9120GA;560;серая;;L9120BL;560;черная;
50;Рельс для крепления стойки ;1560 мм;;;L9821WH;500;белый;;L9821GA;500;серый;;L9821BL;500;черный;
51;Полка-корзина;604х406х118 мм;;;L9549WH;820;белая;;L9549GA;820;серая;;L9549BL;820;черная;
52;Полка-корзина;904х406х118 мм;;;L9550WH;1000;белая;;L9550GA;1000;серая;;L9550BL;1000;черная;
53;Метал. полка;595х420 мм;;;L99S64WH;770;белая;;L99S64GA;770;серая;;L99S64BL;770;черная;
54;Брючница;597х425 мм;;;L9602WH;1800;белая;;L9602GA;1800;серая;;L9602BL;1800;черная;
55;Выдвижная рама;597х425 мм;;;L9601WH;1550;белая;;L9601GA;1550;серая;;L9601BL;1550;черная;
56;Полка для обуви;603х306х80 мм;;;L9438WH;550;белая;;L9438WH;550;серая;;L9438WH;550;черная;
57;Полка-корзина;604х306х118 мм;;;L9547WH;650;белая;;L9547GA;650;серая;;L9547BL;650;черная;
58;Перфопанель;890х155 мм;;;L99G94WH;660;белая;;L99G94GA;660;серая;;L99G94BL;660;черная;
59;Сет. корзина;555х410х85 мм;;;L9529WH(N);525;белая;;L9529GA(N);525;серая;;L9529BL(N);525;черная;
